Year,Slope,Intercept,R_squared,P_value,Std_err
2003,1.2279988192753244e-06,14.997772349683553,0.0005355654007119188,1.1188993511777853e-60,7.471969825345104e-08
2004,3.4510438320045845e-07,14.953731118790705,4.6601850150806805e-05,6.924551156393316e-07,6.952804175955786e-08
2005,9.726057445244122e-07,14.729457326429557,0.0007636392928218382,1.0216433465563045e-124,4.093871568746298e-08
2006,1.1450150063554168e-06,15.579161008292976,0.0009250503646596891,3.0098335422668435e-170,4.115861505278977e-08
2007,8.252013504602565e-09,15.741946219597192,5.867919664299346e-08,0.8168769394132878,3.5636037654918414e-08
2008,-6.452511544861434e-07,16.019564347732928,0.0004934949807325361,1.1579849363900265e-116,2.8099215808476988e-08
2009,-9.300227625058449e-07,15.84809613609522,0.0013162534924320037,0.0,2.390149347973546e-08
2010,-1.0029384189439955e-06,15.423785613982073,0.0017188682824803754,0.0,2.2382745921026127e-08
2011,-1.3135912488150516e-06,15.35791015783557,0.002851685439451927,0.0,2.2655996707223234e-08
2012,-1.0824632884319835e-06,16.15149014905733,0.0019491213122901775,0.0,2.2403206725062408e-08
2013,-1.886645468778629e-06,16.08358705431184,0.004136016176454839,0.0,2.8030279431132355e-08
2014,-1.7388272570689011e-06,17.701205547545012,0.0036892237941942973,0.0,2.765696022111754e-08
2015,-1.76068972499109e-06,17.501254980443345,0.004104316455872935,0.0,2.6717739877607102e-08
2016,-1.4861641410926494e-06,17.01263840694023,0.0029775153980587956,0.0,2.6629039713718484e-08
2017,-1.6996674420619233e-06,17.23266762498852,0.003490980847023948,0.0,2.8314703129507384e-08
2018,-1.7806108673892708e-06,17.013408493967983,0.004088363666734468,0.0,2.7225979672691112e-08
2019,-1.6432000638550795e-06,16.41213587604493,0.0033892030035834794,0.0,2.7929076902630793e-08
2020,-1.987200928857049e-06,17.25564759735876,0.0047560177703544326,0.0,2.8136491388276683e-08
2021,-1.4706952522563707e-06,16.585390160375518,0.002649578148848272,0.0,2.8001069343943964e-08
2022,2.5282363652068303e-07,15.290120951230165,3.175377117679254e-05,5.866851957406642e-06,5.5796552116297845e-08
2023,1.5834348354856348e-07,11.13864876520845,3.6539149353347126e-06,0.3246917541428498,1.6077699693251665e-07
